ImageName,Rating
3.jpg,4
5.jpg,5
4.jpg,5
8.jpg,8
8.jpg,8
3.jpg,3
5.jpg,5
1.jpg,1
0.jpg,1
2.jpg,3
1.jpg,2
8.jpg,8
4.jpg,2
0.jpg,1
0.jpg,1
1.jpg,2
5.jpg,6
2.jpg,1
7.jpg,8
1.jpg,1
0.jpg,1
1.jpg,2
7.jpg,8
5.jpg,7
3.jpg,5
0.jpg,1
1.jpg,2
6.jpg,6
1.jpg,2
6.jpg,7
3.jpg,2
1.jpg,1
6.jpg,6
5.jpg,5
4.jpg,3
0.jpg,1
6.jpg,7
3.jpg,5
1.jpg,2
3.jpg,4
3.jpg,4
4.jpg,5
7.jpg,6
0.jpg,2
3.jpg,4
1.jpg,1
8.jpg,9
2.jpg,1
7.jpg,9
4.jpg,2
3.jpg,2
7.jpg,9
4.jpg,6
7.jpg,8
5.jpg,7
5.jpg,7
8.jpg,8
3.jpg,5
6.jpg,7
6.jpg,7
2.jpg,1
0.jpg,1
1.jpg,2
4.jpg,5
7.jpg,7
2.jpg,2
3.jpg,3
0.jpg,1
2.jpg,2
8.jpg,8
3.jpg,5
7.jpg,7
4.jpg,4
6.jpg,7
1.jpg,1
1.jpg,1
1.jpg,1
8.jpg,9
8.jpg,9
2.jpg,1
7.jpg,8
2.jpg,2
7.jpg,8
3.jpg,5
3.jpg,5
6.jpg,8
7.jpg,9
8.jpg,9
3.jpg,4
8.jpg,8
2.jpg,3
1.jpg,1
4.jpg,6
5.jpg,7
1.jpg,1
4.jpg,6
5.jpg,7
1.jpg,1
8.jpg,9
4.jpg,5
